;KRSI;KRAWﾊDZIAKI IMPREGNOWANE;-;0-13;-;-;-;-;1;-;-;-;-;800,00 zｳ
;BS-17;BOAZERIA;-;03-lut;17;90;-;-;-;1;-;-;-;29,50 zｳ
;BS-22;BOAZERIA;-;3;22;110;-;-;-;1;-;-;-;23,00 zｳ
;;;;;;;;;;;;;;
DESKA POD｣OGOWA;DPDS-145/1,2;D･B;SELECT;0,4-1,2;22;145;-;-;-;1;-;-;-;210,00 zｳ
;DPDS-145/1,8;D･B;SELECT;1,2-1,8;22;145;-;-;-;1;-;-;-;246,00 zｳ
;DPDS-145/2,2;D･B;SELECT;1,8-2,2;22;145;-;-;-;1;-;-;-;296,00 zｳ
;DPDN-145/1,2;D･B;NATURAL;0,4-1,2;22;145;-;-;-;1;-;-;-;162,00 zｳ
;DPDN-145/1,8;D･B;NATURAL;1,2-1,8;22;145;-;-;-;1;-;-;-;196,00 zｳ
;DPDN-145/2,2;D･B;NATURAL;1,8-2,2;22;145;-;-;-;1;-;-;-;248,00 zｳ
;DPDR-145/1,2;D･B;RUSTICAL;0,4-1,2;22;145;-;-;-;1;-;-;-;118,00 zｳ
;DPDR-145/1,8;D･B;RUSTICAL;1,2-1,8;22;145;-;-;-;1;-;-;-;155,00 zｳ
;DPDR-145/2,2;D･B;RUSTICAL;1,8-2,2;22;145;-;-;-;1;-;-;-;176,00 zｳ
;DPDN-180/1,2;D･B;NATURAL;0,4-1,2;22;180;-;-;-;1;-;-;-;240,00 zｳ
;DPDN-180/1,2;D･B;RUSTICAL;0,4-1,2;22;180;-;-;-;1;-;-;-;160,00 zｳ
;DPS-AB/3;SOSNA;AB;3;28;130;-;-;-;1;-;-;-;45,00 zｳ
;DPS-AB/4;SOSNA;AB;4;28;130;-;-;-;1;-;-;-;55,00 zｳ
;DPS-AB/4,5;SOSNA;AB;4,5;28;130;-;-;-;1;-;-;-;55,00 zｳ
;DPS-AB/5;SOSNA;AB;5;28;130;-;-;-;1;-;-;-;60,00 zｳ
;DPS-B/3;SOSNA;B;3;28;130;-;-;-;1;-;-;-;40,00 zｳ
;DPS-B/4;SOSNA;B;4;28;130;-;-;-;1;-;-;-;45,00 zｳ
;DPS-B/4,5;SOSNA;B;4,5;28;130;-;-;-;1;-;-;-;45,00 zｳ
;DPS-B/5;SOSNA;B;5;28;130;-;-;-;1;-;-;-;50,00 zｳ
;DPM-AB/3;MODRZEW;AB;3;28;130;-;-;-;1;-;-;-;70,00 zｳ
;DPM-AB/4;MODRZEW;AB;4;28;130;-;-;-;1;-;-;-;75,00 zｳ
;DPM-AB/4,5;MODRZEW;AB;4,5;28;130;-;-;-;1;-;-;-;75,00 zｳ
;DPM-AB/5;MODRZEW;AB;5;28;130;-;-;-;1;-;-;-;85,00 zｳ
;DPM-B/3;MODRZEW;B;3;28;130;-;-;-;1;-;-;-;50,00 zｳ
;DPM-B/4;MODRZEW;B;4;28;130;-;-;-;1;-;-;-;55,00 zｳ
;DPM-B/4,5;MODRZEW;B;4,5;28;130;-;-;-;1;-;-;-;55,00 zｳ
;DPM-B/5;MODRZEW;B;5;28;130;-;-;-;1;-;-;-;65,00 zｳ
;DPO-145/1,2;ORZECH;-;0,4-1,2;22;145;-;-;-;1;-;-;-;380,00 zｳ
;DPCZ-145/1,2;CZERE君IA;-;0,4-1,2;22;145;-;-;-;1;-;-;-;235,00 zｳ
;DPB-AB/1,2;BUK PARZONY;AB;0,4-1,2;22;145;-;-;-;1;-;-;-;120,00 zｳ
;DPB-B/1,2;BUK PARZONY;B;0,4-1,2;22;145;-;-;-;1;-;-;-;89,00 zｳ
;DPK-N/1,2;KLON;NATURAL;0,4-1,2;22;145;-;-;-;1;-;-;-;162,00 zｳ
;DPK-N/1,8;KLON;NATURAL;1,2-1,8;22;145;-;-;-;1;-;-;-;178,00 zｳ
;DPK-N/2,2;KLON;NATURAL;1,8-2,2;22;145;-;-;-;1;-;-;-;215,00 zｳ
;DPK-R/1,2;KLON;RUSTICAL;0,4-1,2;22;145;-;-;-;1;-;-;-;118,00 zｳ
;DPK-R/1,8;KLON;RUSTICAL;1,2-1,8;22;145;-;-;-;1;-;-;-;144,00 zｳ
;DPK-R/2,2;KLON;RUSTICAL;1,8-2,2;22;145;-;-;-;1;-;-;-;165,00 zｳ
;DPBR-AB/1,2;BRZOZA;AB;0,4-1,2;22;145;-;-;-;1;-;-;-;75,00 zｳ
;DPBR-AB/1,8;BRZOZA;AB;1,2-1,8;22;145;-;-;-;1;-;-;-;85,00 zｳ
;DPBR-B/1,2;BRZOZA;B;0,4-1,2;22;145;-;-;-;1;-;-;-;52,00 zｳ
;DPBR-B/1,8;BRZOZA;B;1,2-1,8;22;145;-;-;-;1;-;-;-;62,00 zｳ
;DPDL;LONG D･B;-;0-7,2;22;do 205;-;-;-;1;-;-;-;98,00 zｳ
;DPJL;LONG JESION;-;0-7,2;22;do 205;-;-;-;1;-;-;-;93,00 zｳ
;DPDP-180/2,2;POSTARZANA DﾊBOWA;-;0,4-2,2;22;180;-;-;-;1;-;-;-;380,00 zｳ
;DPDP-145/180/2,2;POSTARZANA DﾊBOWA;-;0,4-2,2;22;145-180;-;-;-;1;-;-;-;330,00 zｳ
;DPDP-145/2,2;POSTARZANA DﾊBOWA;-;0,4-2,2;22;145;-;-;-;1;-;-;-;320,00 zｳ
;DTS-140/3;DESKA TARASOWA SOSNA;AB;3;28;140;-;-;-;1;-;-;-;45,00 zｳ
;DTS-140/4,5;DESKA TARASOWA SOSNA;AB;4m-4,5m;28;140;-;-;-;1;-;-;-;55,00 zｳ
;DTS-140/5;DESKA TARASOWA SOSNA;AB;5;28;140;-;-;-;1;-;-;-;60,00 zｳ
;DTM-140/3;DESKA TARASOWA MODRZEW;AB;3;28;140;-;-;-;1;-;-;-;75,00 zｳ
;DTM-140/4,5;DESKA TARASOWA MODRZEW;AB;4m-4,5m;28;140;-;-;-;1;-;-;-;80,00 zｳ
;DTM-140/5;DESKA TARASOWA MODRZEW;AB;5;28;140;-;-;-;1;-;-;-;90,00 zｳ
;LS-22;LEGAR 22;-;4,5;22;65;-;-;-;-;1;-;-;2,55 zｳ
;LS-44;LEGAR 44;-;4,5;44;65;-;-;-;-;1;-;-;5,10 zｳ
;LS-66;LEGAR 66;-;4,5;66;65;-;-;-;-;1;-;;7,64 zｳ
;LS-88;LEGAR 88;-;4,5;88;65;-;-;-;-;1;-;-;10,18 zｳ
;LS-110;LEGAR 110;-;4,5;110;65;-;-;-;-;1;-;-;12,73 zｳ
;LS-132;LEGAR 132;-;4,5;132;65;-;-;-;-;1;-;-;15,27 zｳ
;LPD-65;LISTWA PRZYPOD｣OGOWA D･B;-;1;22;65;-;-;-;-;1;-;-;12,00 zｳ
;LPJ-65;LISTWA PRZYPOD｣OGOWA JESION;-;1;22;65;-;-;-;-;1;-;-;12,00 zｳ
;LPA-65;LISTWA PRZYPOD｣OGOWA AKACJA;-;1;22;65;-;-;-;-;1;-;-;12,00 zｳ
;LPS-65;LISTWA PRZYPOD｣OGOWA SOSNA;-;1;22;65;-;-;-;-;1;-;-;7,00 zｳ
;LPM-65;LISTWA PRZYPOD｣OGOWA MODZREW;-;1;22;65;-;-;-;-;1;-;-;8,00 zｳ
;LPO-65;LISTWA PRZYPOD｣OGOWA ORZECH;-;1;22;65;-;-;-;-;1;-;-;20,00 zｳ
;LPCZ-65;LISTWA PRZYPOD｣OGOWA CZERE君IA;-;1;22;65;-;-;-;-;1;-;-;14,00 zｳ
;LPBP-65/AB;LISTWA PRZYPOD｣OGOWA BUK PARZONY KL AB;-;1;22;65;-;-;-;-;1;-;-;12,00 zｳ
;LPBP-65/B;LISTWA PRZYPOD｣OGOWA BUK PARZONY KL B;-;1;22;65;-;-;-;-;1;-;-;9,00 zｳ
